date_ist,daily_pnl_inr,daily_return_pct,max_intraday_dd_pct,winning_trades,losing_trades
2023-09-29,0.00,0.0000,0.0000,0,0
2023-10-02,-376463.66,-3.7646,-3.7646,0,1
2023-10-03,-551356.68,-5.7293,-5.7293,0,1
2023-10-04,371140.02,4.0910,-32.6442,2,1
2023-10-05,0.00,0.0000,0.0000,0,0
2023-10-06,2324165.48,24.6117,-0.0879,6,0
2023-10-09,3100742.26,26.3501,-47.0826,11,0
2023-10-10,0.00,0.0000,0.0000,0,0
2023-10-11,4393450.77,29.5493,-43.1345,15,0
2023-10-12,280231.81,1.4549,-50.3758,1,0
2023-10-13,334212.66,1.7102,-0.3780,1,0
2023-10-16,257376.78,1.2949,-0.4110,1,0
2023-10-17,1444273.05,7.1735,-41.8399,5,0
2023-10-18,-547685.55,-2.5382,-2.5382,0,1
2023-10-19,3748164.07,17.8229,-1.7132,10,1
2023-10-20,3099432.52,12.5087,-29.0845,11,0
2023-10-23,-550305.80,-1.9740,-1.9740,0,1
2023-10-24,9218506.34,33.7336,-0.5572,14,0
2023-10-25,576740.10,1.5781,-22.8148,2,0
2023-10-26,7003320.42,18.8654,-18.0322,21,3
2023-10-27,26366.35,0.0598,-0.5503,1,1
2023-10-30,575231.99,1.3028,-6.2321,2,0
2023-10-31,0.00,0.0000,0.0000,0,0
2023-11-01,0.00,0.0000,0.0000,0,0
2023-11-02,0.00,0.0000,0.0000,0,0
2023-11-03,0.00,0.0000,0.0000,0,0
2023-11-06,3705377.29,8.2843,-21.5011,13,0
2023-11-07,-353605.78,-0.7301,-27.4250,0,1
2023-11-08,862379.75,1.7937,-19.0061,5,1
2023-11-09,1596091.62,3.2612,-0.7444,5,1
2023-11-10,14825036.80,29.3346,-29.1986,41,3
2023-11-13,3693615.34,5.6509,-16.2080,1,0
2023-11-14,0.00,0.0000,0.0000,0,0
2023-11-15,0.00,0.0000,0.0000,0,0
2023-11-16,-195163.38,-0.2826,-0.5516,0,1
2023-11-17,649656.12,0.9434,-0.0174,2,0
2023-11-20,-754049.41,-1.0848,-1.1692,0,2
2023-11-21,4621689.96,6.7218,-0.2106,12,0
2023-11-22,-547610.68,-0.7463,-0.7463,0,1
2023-11-23,713814.67,0.9801,-0.0426,2,0
2023-11-24,-1586057.96,-2.1566,-23.3342,0,4
2023-11-27,329608.29,0.4581,-0.0195,1,0
2023-11-28,0.00,0.0000,0.0000,0,0
2023-11-29,10253153.57,14.1837,-8.8709,20,0
2023-11-30,-1788878.33,-2.1672,-2.7971,0,5
2023-12-01,10598573.95,13.1247,-2.9730,28,2
2023-12-04,-400981.26,-0.4389,-5.9304,0,1
2023-12-05,0.00,0.0000,0.0000,0,0
2023-12-06,254331.24,0.2796,-0.1464,1,0
2023-12-07,-218338.81,-0.2394,-0.6214,1,1
2023-12-08,-849952.51,-0.9342,-7.1395,1,3
2023-12-11,0.00,0.0000,0.0000,0,0
2023-12-12,0.00,0.0000,0.0000,0,0
2023-12-13,0.00,0.0000,0.0000,0,0
2023-12-14,1177812.77,1.3067,-0.0082,3,0
2023-12-15,264590.51,0.2898,-15.1455,1,0
2023-12-18,0.00,0.0000,0.0000,0,0
2023-12-19,802255.59,0.8760,-19.4164,2,0
2023-12-20,-196859.82,-0.2131,-0.2131,0,1
2023-12-21,469148.40,0.5089,-13.7264,1,0
2023-12-22,0.00,0.0000,0.0000,0,0
2023-12-25,0.00,0.0000,0.0000,0,0
2023-12-26,0.00,0.0000,0.0000,0,0
2023-12-27,1898910.54,2.0495,-4.7694,5,0
2023-12-28,330111.67,0.3491,-0.0256,1,0
2023-12-29,15763407.72,16.6137,-0.1727,41,1
2024-01-01,669708.74,0.6053,-0.0105,2,0
