entry_time_ist,exit_time_ist,underlying,instrument,strategy,direction,entry_price,exit_price,quantity,gross_pnl_inr,fees_inr,net_pnl_inr,holding_min,exit_reason,status
2023-10-02 09:29,2023-10-02 09:36,BANKNIFTY,PE,S27_Gap_Up_Down_Fade_Options,SHORT,54267.30,54558.50,960,-279552.00,96911.66,-376463.66,7.0,SL,LOSS
2023-10-03 09:24,2023-10-03 09:31,BANKNIFTY,PE,S27_Gap_Up_Down_Fade_Options,SHORT,55100.15,55397.20,1380,-409929.00,141427.68,-551356.68,7.0,SL,LOSS
2023-10-04 12:46,2023-10-04 12:47,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,56173.00,56713.65,900,486585.00,94614.08,391970.92,1.0,SL,WIN
2023-10-04 12:48,2023-10-04 12:49,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,56082.80,56622.80,900,486000.00,94462.50,391537.50,1.0,SL,WIN
2023-10-04 12:50,2023-10-04 12:51,BANKNIFTY,FUTURE,S15_RSI_Divergence_Scalp,SHORT,53722.90,54000.75,1410,-391768.50,20599.90,-412368.40,1.0,SL,LOSS
2023-10-06 10:03,2023-10-06 10:04,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,60541.65,61122.80,810,470731.50,91774.75,378956.75,1.0,SL,WIN
2023-10-06 10:06,2023-10-06 10:07,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,60621.20,61204.55,840,490014.00,95298.77,394715.23,1.0,SL,WIN
2023-10-06 10:09,2023-10-06 10:10,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,60737.95,61320.20,840,489090.00,95479.57,393610.43,1.0,SL,WIN
2023-10-06 10:11,2023-10-06 10:12,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,60903.60,61487.10,840,490140.00,95739.44,394400.56,1.0,SL,WIN
2023-10-06 10:13,2023-10-06 10:14,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,61062.95,61647.55,810,473526.00,92562.80,380963.20,1.0,SL,WIN
2023-10-06 10:14,2023-10-06 10:15,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,61069.65,61654.95,810,474093.00,92573.68,381519.32,1.0,SL,WIN
2023-10-09 09:30,2023-10-09 09:31,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25023.95,25165.55,3000,424800.00,140051.86,284748.14,1.0,TP,WIN
2023-10-09 09:31,2023-10-09 09:32,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.10,25165.35,3000,423750.00,140051.22,283698.78,1.0,TP,WIN
2023-10-09 09:32,2023-10-09 09:33,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.35,25165.10,3000,422250.00,140050.49,282199.51,1.0,TP,WIN
2023-10-09 09:33,2023-10-09 09:34,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.55,25164.95,3000,421200.00,140050.12,281149.88,1.0,TP,WIN
2023-10-09 09:34,2023-10-09 09:35,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.70,25165.05,3000,421050.00,140050.74,280999.26,1.0,TP,WIN
2023-10-09 09:35,2023-10-09 09:36,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.60,25165.20,3000,421800.00,140051.24,281748.76,1.0,TP,WIN
2023-10-09 09:36,2023-10-09 09:37,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.50,25165.20,3000,422100.00,140051.11,282048.89,1.0,TP,WIN
2023-10-09 09:37,2023-10-09 09:38,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.45,25165.25,3000,422400.00,140051.26,282348.74,1.0,TP,WIN
2023-10-09 09:38,2023-10-09 09:39,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.40,25164.80,3000,421200.00,140049.28,281150.72,1.0,TP,WIN
2023-10-09 09:39,2023-10-09 09:40,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.85,25164.95,3000,420300.00,140050.52,280249.48,1.0,TP,WIN
2023-10-09 09:40,2023-10-09 09:41,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25024.70,25164.85,3000,420450.00,140049.89,280400.11,1.0,TP,WIN
2023-10-11 09:16,2023-10-11 09:17,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.40,25152.55,3075,440186.25,143475.64,296710.61,1.0,TP,WIN
2023-10-11 09:17,2023-10-11 09:18,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.35,25152.45,3075,440032.50,143475.13,296557.37,1.0,TP,WIN
